Instance,Time(s),Upper Bound,Status
N1C3W1_D.BPP,0.217693,19,Optimal
N1C3W1_E.BPP,0.188823,16,Optimal
N1C3W1_F.BPP,0.106476,20,Optimal
N1C3W1_G.BPP,0.254295,15,Optimal
N1C3W1_H.BPP,0.134585,19,Optimal
N1C3W1_I.BPP,0.189446,17,Optimal
N1C3W1_J.BPP,0.281181,16,Optimal
N1C3W1_K.BPP,0.212949,17,Optimal
N1C3W1_L.BPP,0.209706,17,Optimal
N1C3W1_M.BPP,0.170711,17,Optimal
N1C3W1_N.BPP,0.109203,20,Optimal
N1C3W1_O.BPP,0.206146,16,Optimal
N1C3W1_P.BPP,0.137202,19,Optimal
N1C3W1_Q.BPP,0.142967,20,Optimal
N1C3W1_R.BPP,0.102845,21,Optimal
N1C3W1_S.BPP,0.249462,16,Optimal
N1C3W1_T.BPP,0.118993,18,Optimal
N1C3W2_A.BPP,0.128772,19,Optimal
N1C3W2_B.BPP,0.0986033,20,Optimal
N1C3W2_C.BPP,0.0483453,22,Optimal
N1C3W2_D.BPP,0.12587,20,Optimal
N1C3W2_E.BPP,0.100197,21,Optimal
N1C3W2_F.BPP,0.0766847,23,Optimal
N1C3W2_G.BPP,0.0788944,23,Optimal
N1C3W2_H.BPP,0.0878064,23,Optimal
N1C3W2_I.BPP,0.120252,19,Optimal
N1C3W2_J.BPP,0.0977293,22,Optimal
N1C3W2_K.BPP,0.0875675,21,Optimal
N1C3W2_L.BPP,0.103247,21,Optimal
N1C3W2_M.BPP,0.0922059,21,Optimal
N1C3W2_N.BPP,0.0885213,22,Optimal
N1C3W2_O.BPP,0.111328,21,Optimal
N1C3W2_P.BPP,0.218051,18,Optimal
N1C3W2_Q.BPP,0.102211,19,Optimal
N1C3W2_R.BPP,0.0863263,19,Optimal
N1C3W2_S.BPP,0.113332,21,Optimal
N1C3W2_T.BPP,0.102165,22,Optimal
N1C3W4_A.BPP,0.063872,21,Optimal
N1C3W4_B.BPP,0.0716373,22,Optimal
N1C3W4_C.BPP,0.0204845,24,Optimal
N1C3W4_D.BPP,0.119817,21,Optimal
N1C3W4_E.BPP,0.067174,23,Optimal
N1C3W4_F.BPP,0.0455765,21,Optimal
N1C3W4_G.BPP,0.0614331,23,Optimal
N1C3W4_H.BPP,0.0720049,23,Optimal
N1C3W4_I.BPP,0.0649873,23,Optimal
N1C3W4_J.BPP,0.0813477,22,Optimal
N1C3W4_K.BPP,0.0662603,24,Optimal
N1C3W4_L.BPP,0.0925027,20,Optimal
N1C3W4_M.BPP,0.106845,21,Optimal
N1C3W4_N.BPP,0.0805705,21,Optimal
N1C3W4_O.BPP,0.0758451,22,Optimal
N1C3W4_P.BPP,0.0197622,25,Optimal
N1C3W4_Q.BPP,0.023218,25,Optimal
N1C3W4_R.BPP,0.0753692,22,Optimal
N1C3W4_S.BPP,0.0860311,22,Optimal
N1C3W4_T.BPP,0.0444097,24,Optimal
N2C1W1_A.BPP,0.297181,48,Optimal
N2C1W1_B.BPP,0.296392,49,Optimal
N2C1W1_C.BPP,0.342883,46,Optimal
N2C1W1_D.BPP,0.295354,50,Optimal
N2C1W1_E.BPP,0.218393,58,Optimal
N2C1W1_F.BPP,0.334057,50,Optimal
N2C1W1_G.BPP,0.201139,60,Optimal
N2C1W1_H.BPP,0.250696,52,Optimal
N2C1W1_I.BPP,0.100108,62,Optimal
N2C1W1_J.BPP,0.181983,59,Optimal
N2C1W1_K.BPP,0.181646,55,Optimal
N2C1W1_L.BPP,0.214058,55,Optimal
N2C1W1_M.BPP,0.316168,46,Optimal
N2C1W1_N.BPP,0.185727,48,Optimal
N2C1W1_O.BPP,0.471457,48,Optimal
N2C1W1_P.BPP,0.190725,54,Optimal
N2C1W1_Q.BPP,0.246043,46,Optimal
N2C1W1_R.BPP,0.0969562,56,Optimal
N2C1W1_S.BPP,0.42964,45,Optimal
N2C1W1_T.BPP,0.304075,52,Optimal
N2C1W2_A.BPP,0.0746244,64,Optimal
N2C1W2_B.BPP,0.109692,61,Optimal
N2C1W2_C.BPP,0.0470301,68,Optimal
N2C1W2_D.BPP,0.0308695,74,Optimal
N2C1W2_E.BPP,0.0905019,65,Optimal
N2C1W2_F.BPP,0.105957,65,Optimal
N2C1W2_G.BPP,0.0350844,73,Optimal
N2C1W2_H.BPP,0.0408879,70,Optimal
N2C1W2_I.BPP,0.0476663,67,Optimal
N2C1W2_J.BPP,0.0626235,67,Optimal
N2C1W2_K.BPP,0.0415945,72,Optimal
N2C1W2_L.BPP,0.0857064,62,Optimal
N2C1W2_M.BPP,0.111518,65,Optimal
N2C1W2_N.BPP,0.102777,64,Optimal
N2C1W2_O.BPP,0.0491587,64,Optimal
N2C1W2_P.BPP,0.0344782,68,Optimal
N2C1W2_Q.BPP,0.0612137,65,Optimal
N2C1W2_R.BPP,0.040582,67,Optimal
N2C1W2_S.BPP,0.0413892,66,Optimal
N2C1W2_T.BPP,0.0392299,66,Optimal
N2C1W4_A.BPP,0.0559449,73,Optimal
N2C1W4_B.BPP,0.0829696,71,Optimal
N2C1W4_C.BPP,0.0268273,77,Optimal
N2C1W4_D.BPP,0.0151994,82,Optimal
N2C1W4_E.BPP,0.0633758,73,Optimal
N2C1W4_F.BPP,0.0241428,77,Optimal
N2C1W4_G.BPP,0.0363431,71,Optimal
N2C1W4_H.BPP,0.0270083,75,Optimal
N2C1W4_I.BPP,0.037267,73,Optimal
N2C1W4_J.BPP,0.0317069,74,Optimal
N2C1W4_K.BPP,0.0318481,70,Optimal
N2C1W4_L.BPP,0.0668822,75,Optimal
N2C1W4_M.BPP,0.0606419,72,Optimal
N2C1W4_N.BPP,0.0329874,71,Optimal
N2C1W4_O.BPP,0.0225923,80,Optimal
N2C1W4_P.BPP,0.060301,67,Optimal
N2C1W4_Q.BPP,0.0540514,75,Optimal
N2C1W4_R.BPP,0.0437336,70,Optimal
N2C1W4_S.BPP,0.0253385,80,Optimal
N2C1W4_T.BPP,0.0711976,70,Optimal
N2C2W1_A.BPP,0.539422,42,Optimal
N2C2W1_B.BPP,0.291783,50,Optimal
N2C2W1_C.BPP,0.519625,40,Optimal
N2C2W1_D.BPP,0.463834,42,Optimal
N2C2W1_E.BPP,0.544715,40,Optimal
N2C2W1_F.BPP,0.267859,49,Optimal
N2C2W1_G.BPP,0.220592,45,Optimal
N2C2W1_H.BPP,0.336347,46,Optimal
N2C2W1_I.BPP,0.400209,45,Optimal
N2C2W1_J.BPP,0.460747,42,Optimal
N2C2W1_K.BPP,0.445017,41,Optimal
N2C2W1_L.BPP,0.294043,49,Optimal
N2C2W1_M.BPP,0.398949,44,Optimal
