Instance,Time(s),Upper Bound,Status
N4C1W1_G.BPP,24.3411,259,Optimal
N4C1W1_H.BPP,19.5546,251,Optimal
N4C1W1_I.BPP,23.6968,262,Optimal
N4C1W1_J.BPP,20.5172,288,Optimal
N4C1W1_K.BPP,23.324,253,Optimal
N4C1W1_L.BPP,22.4922,258,Optimal
N4C1W1_M.BPP,28.5386,246,Optimal
N4C1W1_N.BPP,25.338,256,Optimal
N4C1W1_O.BPP,27.6118,258,Optimal
N4C1W1_P.BPP,25.1158,271,Optimal
N4C1W1_Q.BPP,24.1411,277,Optimal
N4C1W1_R.BPP,22.8429,254,Optimal
N4C1W1_S.BPP,23.7908,261,Optimal
N4C1W1_T.BPP,35.3364,256,Optimal
N4C1W2_A.BPP,6.16523,317,Optimal
N4C1W2_B.BPP,0.805948,328,Optimal
N4C1W2_C.BPP,1.61994,319,Optimal
N4C1W2_D.BPP,1.46677,327,Optimal
N4C1W2_E.BPP,6.2203,310,Optimal
N4C1W2_F.BPP,1.12139,321,Optimal
N4C1W2_G.BPP,5.63537,307,Optimal
N4C1W2_H.BPP,2.47094,315,Optimal
N4C1W2_I.BPP,5.31101,304,Optimal
N4C1W2_J.BPP,1.90454,311,Optimal
N4C1W2_K.BPP,4.46115,311,Optimal
N4C1W2_L.BPP,1.3102,316,Optimal
N4C1W2_M.BPP,2.53836,330,Optimal
N4C1W2_N.BPP,4.01181,311,Optimal
N4C1W2_O.BPP,6.23615,319,Optimal
N4C1W2_P.BPP,5.80045,317,Optimal
N4C1W2_Q.BPP,5.33785,319,Optimal
N4C1W2_R.BPP,2.51314,319,Optimal
N4C1W2_S.BPP,1.66431,312,Optimal
N4C1W2_T.BPP,2.83971,323,Optimal
N4C1W4_A.BPP,1.69852,368,Optimal
N4C1W4_B.BPP,1.31859,349,Optimal
N4C1W4_C.BPP,2.05923,365,Optimal
N4C1W4_D.BPP,0.80422,359,Optimal
N4C1W4_E.BPP,2.85672,373,Optimal
N4C1W4_F.BPP,1.4844,369,Optimal
N4C1W4_G.BPP,1.53999,362,Optimal
N4C1W4_H.BPP,6.59641,359,Optimal
N4C1W4_I.BPP,1.65516,359,Optimal
N4C1W4_J.BPP,0.936813,368,Optimal
N4C1W4_K.BPP,2.87708,371,Optimal
N4C1W4_L.BPP,3.15864,355,Optimal
N4C1W4_M.BPP,1.09848,360,Optimal
N4C1W4_N.BPP,0.92406,363,Optimal
N4C1W4_O.BPP,2.53555,351,Optimal
N4C1W4_P.BPP,1.41992,363,Optimal
N4C1W4_Q.BPP,4.55569,359,Optimal
N4C1W4_R.BPP,1.2169,370,Optimal
N4C1W4_S.BPP,1.43823,359,Optimal
N4C1W4_T.BPP,6.23178,355,Optimal
N4C2W1_A.BPP,54.5222,210,Optimal
N4C2W1_B.BPP,49.6899,213,Optimal
N4C2W1_C.BPP,48.7008,213,Optimal
N4C2W1_D.BPP,80.6837,200,Optimal
N4C2W1_E.BPP,36.0129,215,Optimal
N4C2W1_F.BPP,75.7209,203,Optimal
N4C2W1_G.BPP,52.5647,211,Optimal
N4C2W1_H.BPP,40.8488,215,Optimal
N4C2W1_I.BPP,57.2982,209,Optimal
N4C2W1_J.BPP,71.3711,202,Optimal
N4C2W1_K.BPP,48.9324,210,Optimal
N4C2W1_L.BPP,57.9311,209,Optimal
N4C2W1_M.BPP,35.6562,217,Optimal
N4C2W1_N.BPP,50.6568,210,Optimal
N4C2W1_O.BPP,54.4092,212,Optimal
N4C2W1_P.BPP,49.1416,212,Optimal
N4C2W1_Q.BPP,53.74,210,Optimal
N4C2W1_R.BPP,47.9001,212,Optimal
N4C2W1_S.BPP,50.1201,210,Optimal
N4C2W1_T.BPP,56.0132,212,Optimal
N4C2W2_A.BPP,3.63069,253,Optimal
N4C2W2_B.BPP,3.05653,254,Optimal
N4C2W2_C.BPP,3.66141,249,Optimal
N4C2W2_D.BPP,6.95252,258,Optimal
N4C2W2_E.BPP,3.66838,257,Optimal
N4C2W2_F.BPP,3.64677,272,Optimal
N4C2W2_G.BPP,5.10266,252,Optimal
N4C2W2_H.BPP,3.87924,255,Optimal
N4C2W2_I.BPP,3.115,262,Optimal
N4C2W2_J.BPP,3.33958,256,Optimal
N4C2W2_K.BPP,4.90878,259,Optimal
N4C2W2_L.BPP,4.19,263,Optimal
N4C2W2_M.BPP,5.48101,261,Optimal
N4C2W2_N.BPP,4.75122,264,Optimal
N4C2W2_O.BPP,5.32873,253,Optimal
N4C2W2_P.BPP,2.62774,266,Optimal
N4C2W2_Q.BPP,6.52189,257,Optimal
N4C2W2_R.BPP,4.59874,256,Optimal
N4C2W2_S.BPP,6.76533,273,Optimal
N4C2W2_T.BPP,10.0559,256,Optimal
N4C2W4_A.BPP,9.14443,293,Optimal
N4C2W4_B.BPP,3.1632,281,Optimal
N4C2W4_C.BPP,3.87388,295,Optimal
N4C2W4_D.BPP,2.73771,295,Optimal
N4C2W4_E.BPP,5.21628,287,Optimal
N4C2W4_F.BPP,4.08382,304,Optimal
N4C2W4_G.BPP,2.95812,291,Optimal
N4C2W4_H.BPP,3.22249,296,Optimal
N4C2W4_I.BPP,9.64195,287,Optimal
N4C2W4_J.BPP,1.85931,300,Optimal
N4C2W4_K.BPP,3.76218,289,Optimal
N4C2W4_L.BPP,7.30243,297,Optimal
N4C2W4_M.BPP,5.45257,287,Optimal
N4C2W4_N.BPP,3.13134,299,Optimal
N4C2W4_O.BPP,8.91222,293,Optimal
N4C2W4_P.BPP,4.60378,301,Optimal
N4C2W4_Q.BPP,3.50146,293,Optimal
N4C2W4_R.BPP,2.32145,300,Optimal
N4C2W4_S.BPP,3.73509,293,Optimal
N4C2W4_T.BPP,2.23346,287,Optimal
N4C3W1_A.BPP,104.473,164,Optimal
N4C3W1_B.BPP,109.283,165,Optimal
N4C3W1_C.BPP,107.677,166,Optimal
N4C3W1_D.BPP,131.492,158,Optimal
N4C3W1_E.BPP,125.387,165,Optimal
N4C3W1_F.BPP,119.341,164,Optimal
N4C3W1_G.BPP,111.452,169,Optimal
N4C3W1_H.BPP,111.846,170,Optimal
N4C3W1_I.BPP,100.042,167,Optimal
N4C3W1_J.BPP,111.519,169,Optimal
N4C3W1_K.BPP,118.926,164,Optimal
N4C3W1_L.BPP,130.377,163,Optimal
N4C3W1_M.BPP,106.973,167,Optimal
N4C3W1_N.BPP,111.666,176,Optimal
N4C3W1_O.BPP,112.065,169,Optimal
N4C3W1_P.BPP,117.427,167,Optimal
N4C3W1_Q.BPP,85.1066,176,Optimal
N4C3W1_R.BPP,104.607,167,Optimal
N4C3W1_S.BPP,105.314,168,Optimal
N4C3W1_T.BPP,85.0919,173,Optimal
N4C3W2_A.BPP,20.2494,203,Optimal
N4C3W2_B.BPP,24.3531,203,Optimal
N4C3W2_C.BPP,29.2502,201,Optimal
N4C3W2_D.BPP,27.7867,201,Optimal
N4C3W2_E.BPP,28.6873,200,Optimal
N4C3W2_F.BPP,18.0204,209,Optimal
N4C3W2_G.BPP,43.1465,201,Optimal
N4C3W2_H.BPP,29.8766,201,Optimal
N4C3W2_I.BPP,28.4389,198,Optimal
N4C3W2_J.BPP,27.2742,204,Optimal
N4C3W2_K.BPP,26.9345,204,Optimal
N4C3W2_L.BPP,27.4799,201,Optimal
N4C3W2_M.BPP,30.3467,198,Optimal
N4C3W2_N.BPP,40.926,198,Optimal
N4C3W2_O.BPP,26.3083,209,Optimal
N4C3W2_P.BPP,29.1239,202,Optimal
N4C3W2_Q.BPP,37.8301,199,Optimal
N4C3W2_R.BPP,30.0939,194,Optimal
N4C3W2_S.BPP,29.2142,196,Optimal
N4C3W2_T.BPP,34.9205,195,Optimal
N4C3W4_A.BPP,18.2871,216,Optimal
N4C3W4_B.BPP,18.9406,215,Optimal
N4C3W4_C.BPP,21.9664,218,Optimal
N4C3W4_D.BPP,20.9521,215,Optimal
N4C3W4_E.BPP,16.9334,219,Optimal
N4C3W4_F.BPP,14.4968,222,Optimal
N4C3W4_G.BPP,32.9433,222,Optimal
N4C3W4_H.BPP,19.4553,219,Optimal
N4C3W4_I.BPP,15.8361,224,Optimal
N4C3W4_J.BPP,17.7356,213,Optimal
N4C3W4_K.BPP,30.7276,215,Optimal
N4C3W4_L.BPP,15.4002,219,Optimal
N4C3W4_M.BPP,19.6809,216,Optimal
N4C3W4_N.BPP,9.95343,225,Optimal
N4C3W4_O.BPP,12.2746,226,Optimal
N4C3W4_P.BPP,20.1311,219,Optimal
N4C3W4_Q.BPP,15.3003,222,Optimal
N4C3W4_R.BPP,15.4133,214,Optimal
N4C3W4_S.BPP,10.1437,216,Optimal
N4C3W4_T.BPP,16.5206,216,Optimal
